Episode,Reward
410,[1544.]
411,[1834.]
412,[1862.]
413,[3060.]
414,[1930.]
415,[1882.]
416,[1398.]
417,[1872.]
418,[1927.]
419,[2633.]
420,[2349.]
421,[774.]
422,[1912.]
423,[1860.]
424,[1928.]
425,[3055.]
426,[3047.]
427,[1331.]
428,[1336.]
429,[1916.]
430,[1925.]
431,[1441.]
432,[3065.]
433,[3051.]
434,[2648.]
435,[1835.]
436,[1885.]
437,[3050.]
438,[2357.]
439,[762.]
440,[2368.]
441,[2360.]
442,[1862.]
443,[3048.]
444,[3056.]
445,[1928.]
446,[1438.]
447,[3043.]
448,[1882.]
449,[1686.]
450,[1437.]
451,[1926.]
452,[2086.]
453,[1344.]
454,[1886.]
455,[654.]
456,[1860.]
457,[1699.]
458,[1413.]
459,[1913.]
460,[2366.]
461,[654.]
462,[2086.]
463,[1861.]
464,[1914.]
465,[1861.]
466,[654.]
467,[1857.]
468,[1438.]
469,[1440.]
470,[654.]
471,[1343.]
472,[1057.]
473,[641.]
474,[654.]
475,[1410.]
476,[1318.]
477,[1341.]
478,[654.]
479,[244.]
480,[1925.]
481,[1441.]
482,[2086.]
483,[1883.]
484,[3038.]
485,[1912.]
486,[1925.]
487,[1426.]
488,[2366.]
489,[654.]
490,[778.]
491,[1342.]
492,[3060.]
493,[589.]
494,[654.]
495,[654.]
496,[1343.]
497,[1840.]
498,[1861.]
499,[3053.]
500,[2363.]
501,[3042.]
502,[1917.]
503,[1857.]
504,[2346.]
505,[3054.]
506,[2086.]
507,[2367.]
508,[2345.]
509,[2628.]
510,[1850.]
511,[1860.]
512,[586.]
513,[610.]
514,[3059.]
515,[1050.]
516,[654.]
517,[654.]
518,[654.]
519,[654.]
520,[2361.]
521,[1441.]
522,[1863.]
523,[1845.]
524,[3044.]
525,[2086.]
526,[1914.]
527,[3035.]
528,[3043.]
529,[3045.]
530,[2627.]
531,[1928.]
532,[3046.]
533,[1860.]
534,[776.]
535,[1869.]
536,[819.]
537,[1917.]
538,[1574.]
539,[3047.]
540,[3046.]
541,[654.]
542,[3055.]
543,[654.]
544,[3038.]
545,[1855.]
546,[610.]
547,[3058.]
548,[1576.]
549,[3036.]
550,[3046.]
551,[779.]
552,[3057.]
553,[1921.]
554,[1870.]
555,[654.]
556,[654.]
557,[2350.]
558,[610.]
559,[731.]
560,[3034.]
561,[1927.]
562,[595.]
563,[3059.]
564,[1885.]
565,[1858.]
566,[1853.]
567,[1343.]
568,[3054.]
569,[654.]
570,[585.]
571,[2641.]
572,[1862.]
573,[1424.]
574,[1928.]
575,[1861.]
576,[1682.]
577,[3049.]
578,[1929.]
579,[3051.]
580,[1436.]
581,[2454.]
582,[819.]
583,[2806.]
584,[1319.]
585,[3016.]
586,[3055.]
587,[3055.]
588,[3042.]
589,[654.]
590,[1403.]
591,[1884.]
592,[1431.]
593,[3049.]
594,[1882.]
595,[1439.]
596,[654.]
597,[1693.]
598,[3055.]
599,[2358.]
600,[654.]
601,[1580.]
602,[654.]
603,[1342.]
604,[2363.]
605,[1731.]
606,[775.]
607,[3032.]
608,[2363.]
609,[747.]
610,[1927.]
611,[1340.]
612,[1428.]
613,[767.]
614,[3057.]
615,[3050.]
616,[1860.]
617,[2639.]
618,[1441.]
619,[602.]
620,[1685.]
621,[3039.]
622,[595.]
623,[3054.]
624,[2654.]
625,[3040.]
626,[2086.]
627,[1567.]
628,[1928.]
629,[654.]
630,[1847.]
631,[1890.]
632,[651.]
633,[1890.]
634,[3053.]
635,[1883.]
636,[1930.]
637,[587.]
638,[3053.]
639,[1696.]
640,[3050.]
641,[1886.]
642,[3055.]
643,[2086.]
644,[1882.]
645,[1705.]
646,[1697.]
647,[1915.]
648,[1082.]
649,[1885.]
650,[2344.]
651,[2365.]
652,[1875.]
653,[1867.]
654,[3047.]
655,[2365.]
656,[654.]
657,[654.]
658,[1836.]
659,[638.]
660,[1915.]
661,[248.]
662,[1331.]
663,[1887.]
664,[1704.]
665,[1865.]
666,[2086.]
667,[2086.]
668,[1882.]
669,[3056.]
670,[1851.]
671,[1403.]
672,[2344.]
673,[3038.]
674,[1331.]
675,[1860.]
676,[3057.]
677,[654.]
678,[1886.]
679,[1901.]
680,[610.]
681,[1914.]
682,[1925.]
683,[1721.]
684,[654.]
685,[1061.]
686,[2364.]
687,[1862.]
688,[654.]
689,[2086.]
690,[1882.]
691,[1581.]
692,[1865.]
693,[654.]
694,[1925.]
695,[3052.]
696,[3042.]
697,[2086.]
698,[3052.]
699,[739.]
700,[588.]
701,[1441.]
702,[3055.]
703,[654.]
704,[1437.]
705,[1436.]
706,[678.]
707,[3048.]
708,[1851.]
709,[1687.]
710,[1852.]
711,[1334.]
712,[1914.]
713,[2644.]
714,[654.]
715,[3050.]
716,[3050.]
717,[3057.]
718,[1928.]
719,[2362.]
720,[654.]
721,[2366.]
722,[2086.]
723,[1836.]
724,[1412.]
725,[1407.]
726,[2648.]
727,[3050.]
728,[3047.]
729,[628.]
730,[1858.]
731,[1885.]
732,[2640.]
733,[1671.]
734,[593.]
735,[3057.]
736,[1861.]
737,[1916.]
738,[1439.]
739,[1046.]
740,[609.]
741,[3046.]
742,[3047.]
743,[1572.]
744,[3038.]
745,[1925.]
746,[2650.]
747,[2363.]
748,[3031.]
749,[654.]
750,[3047.]
751,[1049.]
752,[1927.]
753,[1338.]
754,[1850.]
755,[1925.]
756,[595.]
757,[1866.]
758,[1440.]
759,[2655.]
760,[1930.]
761,[1930.]
762,[589.]
763,[1399.]
764,[1342.]
765,[1841.]
766,[1687.]
767,[2086.]
768,[3052.]
769,[605.]
770,[1931.]
771,[1861.]
772,[1869.]
773,[1698.]
774,[2364.]
775,[2179.]
776,[1330.]
777,[1709.]
778,[1864.]
779,[819.]
780,[1918.]
781,[3046.]
782,[654.]
783,[3052.]
784,[1434.]
785,[1856.]
786,[764.]
787,[611.]
788,[1344.]
789,[3054.]
790,[1611.]
791,[1920.]
792,[3046.]
793,[654.]
794,[2362.]
795,[1924.]
796,[613.]
797,[3047.]
798,[248.]
799,[1708.]
800,[1876.]
801,[1871.]
802,[1924.]
803,[3040.]
804,[1864.]
805,[2633.]
806,[654.]
807,[1834.]
808,[3037.]
809,[654.]
810,[713.]
811,[766.]
812,[1372.]
813,[1059.]
814,[1048.]
815,[1703.]
816,[1863.]
817,[1695.]
818,[1339.]
819,[3054.]
820,[2366.]
821,[654.]
822,[1928.]
823,[248.]
824,[1857.]
825,[3056.]
826,[654.]
827,[1433.]
828,[2354.]
829,[1850.]
830,[3054.]
831,[1437.]
832,[1540.]
833,[1289.]
834,[819.]
835,[1913.]
836,[1929.]
837,[249.]
838,[1925.]
839,[1928.]
840,[1862.]
841,[2628.]
842,[1047.]
843,[3031.]
844,[1334.]
845,[602.]
846,[1867.]
847,[1046.]
848,[601.]
849,[2364.]
850,[1650.]
851,[1050.]
852,[3034.]
853,[2647.]
854,[1887.]
855,[1906.]
856,[2355.]
857,[646.]
858,[3054.]
859,[654.]
860,[1881.]
861,[2086.]
862,[1923.]
863,[654.]
864,[294.]
865,[1587.]
866,[1693.]
867,[654.]
868,[1050.]
869,[601.]
870,[3051.]
871,[654.]
872,[1582.]
873,[3044.]
874,[1862.]
875,[1864.]
876,[1344.]
877,[1344.]
878,[1102.]
879,[3046.]
880,[3044.]
881,[1861.]
882,[1921.]
883,[652.]
884,[1863.]
885,[1882.]
886,[1925.]
887,[3058.]
888,[612.]
889,[2652.]
890,[1686.]
891,[1042.]
892,[591.]
893,[654.]
894,[2086.]
895,[1855.]
896,[1922.]
897,[2367.]
898,[654.]
899,[1861.]
900,[654.]
901,[1384.]
902,[1924.]
903,[1926.]
904,[1930.]
905,[1867.]
906,[1917.]
907,[3049.]
908,[1051.]
909,[2365.]
910,[2086.]
911,[1411.]
912,[1861.]
913,[3035.]
914,[1585.]
915,[1423.]
916,[654.]
917,[1435.]
918,[1329.]
919,[625.]
920,[1908.]
921,[1892.]
922,[1397.]
923,[3053.]
924,[1863.]
925,[2582.]
926,[757.]
927,[2365.]
928,[1876.]
929,[1867.]
930,[2357.]
931,[1442.]
932,[1900.]
933,[652.]
934,[654.]
935,[641.]
936,[1881.]
937,[1437.]
938,[2643.]
939,[1340.]
940,[3046.]
941,[2454.]
942,[1857.]
943,[1432.]
944,[2340.]
945,[2168.]
946,[1347.]
947,[1897.]
948,[774.]
949,[2630.]
950,[3058.]
951,[3059.]
952,[570.]
953,[1572.]
954,[1927.]
955,[654.]
956,[2617.]
957,[3023.]
958,[3060.]
959,[2363.]
960,[1576.]
961,[1439.]
962,[1933.]
963,[765.]
964,[1332.]
965,[3053.]
966,[1840.]
967,[1436.]
968,[3038.]
969,[748.]
970,[2645.]
971,[1882.]
972,[652.]
973,[3038.]
974,[3048.]
975,[3014.]
976,[1662.]
977,[1397.]
978,[654.]
979,[2644.]
980,[687.]
981,[3056.]
982,[654.]
983,[1927.]
984,[2354.]
985,[1912.]
986,[1884.]
987,[1679.]
988,[1857.]
989,[1922.]
990,[772.]
991,[1695.]
992,[1340.]
993,[1920.]
994,[1915.]
995,[1889.]
996,[3055.]
997,[1694.]
998,[650.]
999,[3054.]
1000,[1924.]

Mean Reward,1816.468
Standard Deviation,795.9373
Maximum Reward,3065.0
Flags Reached,174
