Episode,Reward
400,[1810.]
401,[3617.]
402,[3044.]
403,[1081.]
404,[2589.]
405,[2707.]
406,[3554.]
407,[3327.]
408,[2083.]
409,[1986.]
410,[2086.]
411,[4446.]
412,[1704.]
413,[1466.]
414,[2075.]
415,[1720.]
416,[3688.]
417,[2584.]
418,[2588.]
419,[2851.]
420,[3671.]
421,[3116.]
422,[2086.]
423,[3826.]
424,[2084.]
425,[1984.]
426,[3464.]
427,[2090.]
428,[2558.]
429,[2730.]
430,[2730.]
431,[3098.]
432,[2451.]
433,[3667.]
434,[1250.]
435,[3348.]
436,[3616.]
437,[3143.]
438,[4265.]
439,[3304.]
440,[3097.]
441,[3751.]
442,[2159.]
443,[2724.]
444,[2754.]
445,[3122.]
446,[1949.]
447,[3071.]
448,[2211.]
449,[2888.]
450,[2710.]
451,[2088.]
452,[2621.]
453,[4117.]
454,[2163.]
455,[2564.]
456,[1726.]
457,[2531.]
458,[2162.]
459,[2614.]
460,[2600.]
461,[3336.]
462,[2441.]
463,[2021.]
464,[2374.]
465,[2589.]
466,[2516.]
467,[2664.]
468,[3055.]
469,[2040.]
470,[4105.]
471,[3565.]
472,[2585.]
473,[3303.]
474,[3574.]
475,[1939.]
476,[2662.]
477,[3885.]
478,[3876.]
479,[3372.]
480,[3154.]
481,[2010.]
482,[3248.]
483,[1839.]
484,[3736.]
485,[2160.]
486,[4187.]
487,[2754.]
488,[1574.]
489,[2499.]
490,[2032.]
491,[2619.]
492,[2158.]
493,[2124.]
494,[1994.]
495,[2636.]
496,[3320.]
497,[3432.]
498,[2606.]
499,[3809.]
500,[1935.]

Mean Reward,2641.922
Standard Deviation,728.4219
Maximum Reward,4524.0
Flags Reached,83
